818,Surface:  Unusually narrow
819,Surface:  Broken glass
340,Inattentive: Failed to Notice:  Lane use arrows/markings?
341,Inattentive: Failed to Notice:  Obstructions on Roadway
811,Surface:  Potholed
812,Surface:  Uneven
813,Surface:  Deep loose metal
814,Surface:  High crown
815,Surface:  Curve not well banked
816,Surface:  Edge badly defined or gave way
817,Surface:  Under construction or maintenance
719,Crossing Road:  Misjudged speed and/or distance of vehicle
718,Crossing Road:  Not complying with traffic signals or school patrols
717,Crossing Road:  Suddenly stepped onto pedestrian crossing
716,Crossing Road:  Confused by traffic or stepped back
715,Crossing Road:  Waiting on roadway for moving traffic
714,Crossing Road:  Failed to use pedestrian crossing when one within 20 metres
713,Crossing Road:  Running heedless of traffic
712,Crossing Road:  Stepping out from behind vehicles
711,Crossing Road:  Walking heedless of traffic
915,Animals:  Wild animal
425,Incorrect use of vehicle controls:  Ignition turned off (steering locked)
427,Incorrect use of vehicle controls:  Foot slipped
912,Animals:  Farm animal straying
198,Sudden Action:  Swerved to avoid object or for unknown reason
195,Sudden Action:  Swerved to avoid animal
194,Sudden Action:  Swerved to avoid pedestrian
197,Sudden Action:  Swerved to avoid vehicle
196,Sudden Action:  Swerved to avoid crash or broken down vehicle
191,Sudden Action:  Braked
193,Sudden Action:  Turned right
192,Sudden Action:  Turned left
524,Driver/Passenger, Boarding, Joining, In Vehicle:  Interfered with driver
525,Driver/Passenger, Boarding, Joining, In Vehicle:  Opened door inadvertently
526,Driver/Passenger, Boarding, Joining, In Vehicle:  Overloaded vehicle (with passengers)
527,Driver/Passenger, Boarding, Joining, In Vehicle:  Child playing in parked vehicle
521,Driver/Passenger, Boarding, Joining, In Vehicle:  Boarding moving vehicle
522,Driver/Passenger, Boarding, Joining, In Vehicle:  Intentionally leaving moving vehicle
523,Driver/Passenger, Boarding, Joining, In Vehicle:  Riding in insecure position
826,Obstructed:  Roadside Object fell on vehicle
443,Incorrect use of vehicle controls:  Not as close as practicable to side of road
442,Incorrect use of vehicle controls:  At point of limited visibility
441,Incorrect use of vehicle controls:  Inadequately lit at night: (not lit by street lights or park lights off)
440,Incorrect use of vehicle controls:  Parked or Stopped
447,Incorrect use of vehicle controls:  Not Clear of rail crossing
446,Incorrect use of vehicle controls:  In ‘No Stopping’ area
445,Incorrect use of vehicle controls:  Double parked
444,Incorrect use of vehicle controls:  On incorrect side of road
108,Alcohol or Drugs:  Drugs suspected
109,Alcohol or Drugs:  Drugs proven
102,Alcohol or Drugs:  Alcohol test below limit
103,Alcohol or Drugs:  Alcohol test above limit or test refused
101,Alcohol or Drugs:  Alcohol suspected
106,Alcohol or Drugs:  
107,Alcohol or Drugs:  
